,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
19,nm0000131,3,1.0982445055555556,John Cusack,writer,0.04,0.6186988173563094,-0.16032699652164287,0.14871151878670033,3
20,nm0000154,2,8.0514915375,Mel Gibson,writer,0.91,0.08732725947190056,0.7439881036960151,1.512326325066927,6
21,nm0000158,2,5.76495395,Tom Hanks,writer,0.76,0.08732725947190056,0.4466089859842619,1.277220323984129,6
22,nm0000160,2,2.8076000833333334,Ethan Hawke,writer,0.45,0.08732725947190056,0.06198583855009607,0.7913345884130141,1
23,nm0000169,1,0.1518743125,Tommy Lee Jones,writer,-0.82,-0.44404429841250825,-0.28340860890277436,-1.1992295540880062,1
24,nm0000175,20,2.4382537811606353,Stephen King,writer,0.39,9.652015301391259,0.013949944423244981,0.6972921879798949,5
25,nm0000180,1,0.9886419272727273,David Lean,writer,-0.0,-0.44404429841250825,-0.17458152625553502,0.08601658516462095,1
26,nm0000184,14,18.00397073083294,George Lucas,writer,1.26,6.463785954084806,2.0383728965538883,2.0609069942601215,5
27,nm0000185,1,0.000138,Dolph Lundgren,writer,0.0,-0.44404429841250825,-0.30314290541412997,0.08601658516462095,1
28,nm0000186,2,2.8417611666666667,David Lynch,writer,0.45,0.08732725947190056,0.06642871011156971,0.7913345884130141,1
29,nm0000188,4,1.1689199486742423,Steve Martin,writer,0.07,1.1500703752407182,-0.15113519445662554,0.1957327190032599,3
30,nm0000196,5,3.774518902841782,Mike Myers,writer,0.58,1.6814419331251271,0.18773993374461126,0.9950931226847719,3
31,nm0000209,2,1.8346218238636363,Tim Robbins,writer,0.26,0.08732725947190056,-0.0645563263089435,0.4935336537081369,1
32,nm0000217,4,0.9956896074604072,Martin Scorsese,writer,0.0,1.1500703752407182,-0.1736649295078654,0.08601658516462095,3
33,nm0000226,1,0.4655545923076923,Will Smith,writer,-0.33,-0.44404429841250825,-0.2426124438352332,-0.431216617217534,1
34,nm0000229,2,3.8164872333333335,Steven Spielberg,writer,0.58,0.08732725947190056,0.19319818868939811,0.9950931226847719,1
