,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget
27,27,nm0000185,1,0.000138,Dolph Lundgren,writer,0.0,-0.4440442984125082,-0.3031429054141299,0.0860165851646209,1,9000000.0
28,28,nm0000186,2,2.8417611666666667,David Lynch,writer,0.45,0.0873272594719005,0.0664287101115697,0.7913345884130141,1,10000000.0
29,29,nm0000188,4,1.1689199486742423,Steve Martin,writer,0.07,1.1500703752407182,-0.1511351944566255,0.1957327190032599,3,41125000.0
30,30,nm0000196,5,3.774518902841782,Mike Myers,writer,0.58,1.6814419331251271,0.1877399337446112,0.995093122684772,3,39600000.0
31,31,nm0000209,2,1.8346218238636365,Tim Robbins,writer,0.26,0.0873272594719005,-0.0645563263089435,0.4935336537081369,1,21500000.0
32,32,nm0000217,4,0.9956896074604072,Martin Scorsese,writer,0.0,1.1500703752407182,-0.1736649295078654,0.0860165851646209,3,77750000.0
33,33,nm0000226,1,0.4655545923076923,Will Smith,writer,-0.33,-0.4440442984125082,-0.2426124438352332,-0.431216617217534,1,130000000.0
34,34,nm0000229,2,3.8164872333333335,Steven Spielberg,writer,0.58,0.0873272594719005,0.1931981886893981,0.995093122684772,1,55000000.0
35,35,nm0000230,18,8.22522581280817,Sylvester Stallone,writer,0.92,8.589272185622441,0.766583378661043,1.528000058472447,5,48750000.0
36,36,nm0000231,15,2.731661441455989,Oliver Stone,writer,0.44,6.995157511969215,0.0521095231791319,0.7756608550074942,5,39866666.666666664
37,37,nm0000233,12,2.565042722551979,Quentin Tarantino,writer,0.41,5.4010428383159885,0.0304396727061678,0.7286396547909345,5,40808333.333333336
38,38,nm0000235,2,1.239156618181818,Uma Thurman,writer,0.09,0.0873272594719005,-0.1420004577598141,0.2270801858142996,1,55000000.0
39,39,nm0000241,2,5.839711572916666,Jean-Claude Van Damme,writer,0.77,0.0873272594719005,0.4563317021410923,1.292894057389649,6,8750000.0
40,40,nm0000246,1,0.2648935384615384,Bruce Willis,writer,-0.59,-0.4440442984125082,-0.2687097218673529,-0.8387336857610499,1,65000000.0
41,41,nm0000251,5,1.3251440889590964,Timothy Dowling,writer,0.12,1.6814419331251271,-0.1308172266886073,0.2741013860308591,3,61600000.0
42,42,nm0000255,5,3.5342248506193235,Ben Affleck,writer,0.55,1.6814419331251271,0.1564881259318098,0.9480719224682124,3,46200000.0
43,43,nm0000257,1,7.758099384615384,Alan Alda,writer,0.89,-0.4440442984125082,0.7058305417799773,1.4809788582558872,6,6500000.0
44,44,nm0000264,4,0.785426003997421,Pedro Almodóvar,writer,-0.1,1.1500703752407182,-0.2010110817104548,-0.0707207488905775,3,9050000.0
45,45,nm0000265,2,1.1831543961988304,Robert Altman,writer,0.07,0.0873272594719005,-0.1492839117709101,0.1957327190032599,1,18500000.0
46,46,nm0000269,2,0.435535185130719,Jean-Jacques Annaud,writer,-0.36,0.0873272594719005,-0.2465166634156682,-0.4782378174340935,1,78500000.0
47,47,nm0000316,8,12.59410724593121,Mel Brooks,writer,1.1,3.2755566067783533,1.3347848869467185,1.810127259771804,0,21487500.0
48,48,nm0000318,3,1.6860183181623931,Tim Burton,writer,0.23,0.6186988173563094,-0.0838831808753826,0.4465124534915774,3,33000000.0
49,49,nm0000335,1,0.4019594666666666,Glenn Close,writer,-0.4,-0.4440442984125082,-0.2508834044602775,-0.5409327510561729,1,7500000.0
50,50,nm0000338,9,4.218840887332679,Francis Ford Coppola,writer,0.63,3.806928164662762,0.2455269040748499,1.0734617897123713,0,24677777.777777776
51,51,nm0000339,1,1.3010667,Roger Corman,writer,0.11,-0.4440442984125082,-0.1339486480676398,0.2584276526253392,1,30000000.0
52,52,nm0000341,12,2.0542384374359006,Michael Crichton,writer,0.31,5.4010428383159885,-0.0359937541754281,0.5719023207357361,5,99333333.33333333
53,53,nm0000343,2,0.247130981523687,David Cronenberg,writer,-0.6,0.0873272594719005,-0.271019858179723,-0.8544074191665698,1,13326000.0
54,54,nm0000345,1,2.034949413043478,Billy Crystal,writer,0.31,-0.4440442984125082,-0.0385024175303177,0.5719023207357361,1,46000000.0
55,55,nm0000354,2,6.975941475,Matt Damon,writer,0.84,0.0873272594719005,0.6041058072537436,1.402610191228288,6,55000000.0
56,56,nm0000361,7,1.3373101578377269,Brian De Palma,writer,0.13,2.7441850488939448,-0.1292349501282193,0.2897751194363789,0,22642857.14285714
57,57,nm0000365,2,2.807600083333333,Julie Delpy,writer,0.45,0.0873272594719005,0.061985838550096,0.7913345884130141,1,2500000.0
58,58,nm0000369,1,0.0204112571428571,Matt Dillon,writer,-1.7,-0.4440442984125082,-0.3005062361744706,-2.5785180937737526,1,17500000.0
59,59,nm0000380,1,3.9736708,Robert Duvall,writer,0.6,-0.4440442984125082,0.21364093611225,1.0264405894958115,1,5000000.0
60,60,nm0000382,5,0.7313928263225806,Atom Egoyan,writer,-0.14,1.6814419331251271,-0.2080384486743519,-0.1334156825126569,3,12400000.0
61,61,nm0000386,7,1.337551672403834,Roland Emmerich,writer,0.13,2.7441850488939448,-0.12920353958462,0.2897751194363789,0,125000000.0
62,62,nm0000390,7,2.4861355385590604,Joe Eszterhas,writer,0.4,2.7441850488939448,0.0201772790830701,0.7129659213854148,0,29000000.0
63,63,nm0000391,1,0.03588,Rupert Everett,writer,-1.4,-0.4440442984125082,-0.2984944253351846,-2.1083060916081573,1,13000000.0
64,64,nm0000410,2,0.7172127125,Stephen Fry,writer,-0.14,0.0873272594719005,-0.2098826649079551,-0.1334156825126569,1,23000000.0
65,65,nm0000416,5,2.2864039624324324,Terry Gilliam,writer,0.36,1.6814419331251271,-0.005799114312962,0.6502709877633354,3,15180000.0
66,66,nm0000419,2,1.5671613333333332,Jean-Luc Godard,writer,0.2,0.0873272594719005,-0.0993413065040937,0.3994912532750178,1,3650000.0
67,67,nm0000431,1,1.88329,Taylor Hackford,writer,0.27,-0.4440442984125082,-0.058226712766095,0.5092073871136568,1,40000000.0
68,68,nm0000436,2,0.9754532337662338,Curtis Hanson,writer,-0.01,0.0873272594719005,-0.1762968018146042,0.0703428517591011,1,45000000.0
69,69,nm0000438,1,1.0105697,Ed Harris,writer,0.0,-0.4440442984125082,-0.171729676479407,0.0860165851646209,1,20000000.0
70,70,nm0000455,9,4.208133582461171,John Hughes,writer,0.62,3.806928164662762,0.2441343492823258,1.0577880563068514,0,38444444.44444445
71,71,nm0000464,5,1.1544231654545454,Jim Jarmusch,writer,0.06,1.6814419331251271,-0.1530205956094863,0.18005898559774,3,4020000.0
72,72,nm0000466,2,1.6879331103645148,Jean-Pierre Jeunet,writer,0.23,0.0873272594719005,-0.0836341496682067,0.4465124534915774,1,32675000.0
73,73,nm0000484,2,2.532358727777778,John Landis,writer,0.4,0.0873272594719005,0.0261889061399928,0.7129659213854148,1,18500000.0
74,74,nm0000490,11,5.199628157308147,Spike Lee,writer,0.72,4.86967128043158,0.373084681652046,1.2145253903620497,0,14379545.454545455
75,75,nm0000500,10,7.0205972401207735,Richard Linklater,writer,0.85,4.338299722547171,0.6099135805897064,1.4182839246338077,0,9542300.0
76,76,nm0000513,1,0.0116586,William H. Macy,writer,-2.0,-0.4440442984125082,-0.3016445762888013,-3.048730095939348,1,5000000.0
77,77,nm0000517,4,0.6631892593864469,Terrence Malick,writer,-0.18,1.1500703752407182,-0.2169087671292686,-0.1961106161347362,3,30000000.0
78,78,nm0000519,13,1.5468697425661209,David Mamet,writer,0.19,5.9324143962003975,-0.1019803601511056,0.383817519869498,5,24423076.923076924
79,79,nm0000520,3,0.6150528171174522,Michael Mann,writer,-0.21,0.6186988173563094,-0.2231692252166371,-0.2431318163512957,3,101833333.33333333
80,80,nm0000552,4,3.197708604761905,Eddie Murphy,writer,0.51,1.1500703752407182,0.1127219946266316,0.885376988846133,3,26500000.0
81,81,nm0000559,2,3.672523509259259,Leonard Nimoy,writer,0.56,0.0873272594719005,0.1744747679673031,0.9637456558737324,1,25500000.0
82,82,nm0000570,2,0.7158165945454545,Alan Parker,writer,-0.14,0.0873272594719005,-0.2100642391483323,-0.1334156825126569,1,40000000.0
83,83,nm0000576,2,0.5921682625,Sean Penn,writer,-0.23,0.0873272594719005,-0.2261455107142243,-0.2744792831623355,1,30000000.0
84,84,nm0000581,1,1.375661380952381,Joseph L. Mankiewicz,writer,0.14,-0.4440442984125082,-0.1242471235753779,0.3054488528418987,1,42000000.0
85,85,nm0000583,2,0.8525861481481481,Wolfgang Petersen,writer,-0.07,0.0873272594719005,-0.1922764671901775,-0.0236995486740179,1,19500000.0
86,86,nm0000590,1,0.0388464444444444,Edgar Allan Poe,writer,-1.4,-0.4440442984125082,-0.2981086198988549,-2.1083060916081573,1,9000000.0
87,87,nm0000591,3,0.1627650868518518,Roman Polanski,writer,-0.8,0.6186988173563094,-0.2819921927084127,-1.1678820872769669,3,36666666.666666664
88,88,nm0000600,5,1.5327879419444987,Sam Raimi,writer,0.18,1.6814419331251271,-0.103811790112084,0.3681437864639781,3,69700000.0
89,89,nm0000601,8,9.107897809103882,Harold Ramis,writer,0.96,3.2755566067783533,0.8813806253462741,1.590694992094526,0,28950000.0
90,90,nm0000604,1,1.5456737384615384,John C. Reilly,writer,0.19,-0.4440442984125082,-0.1021359082808826,0.383817519869498,1,65000000.0
91,91,nm0000607,1,5.863906285714286,Paul Reubens,writer,0.77,-0.4440442984125082,0.4594783822500828,1.292894057389649,6,7000000.0
92,92,nm0000621,1,0.5095473,Kurt Russell,writer,-0.29,-0.4440442984125082,-0.2368909054398843,-0.3685216835954545,1,50000000.0
