,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender,avg_budget
52,52,nm0000110,13,0.9840414851265108,Kenneth Branagh,actor,-0.01,3.024560434987407,-0.1831594662686717,0.0060573311516608,4,6,1,51307692.307692304
53,53,nm0000111,17,1.709576565765759,Matthew Broderick,actor,0.23,4.150719467532329,-0.118203560304876,0.3674683087098564,1,6,1,50376470.5882353
54,54,nm0000112,25,1.5015505442725248,Pierce Brosnan,actor,0.18,6.4030375326221725,-0.1368277716637969,0.292174355051899,1,3,1,57640000.0
55,55,nm0000113,27,1.9825048935833556,Sandra Bullock,actress,0.3,6.966117048894634,-0.0937687572613679,0.4728798438309968,1,3,0,44144444.44444445
56,56,nm0000114,32,1.226075759564886,Steve Buscemi,actor,0.09,8.373815839575785,-0.1614905546061469,0.1566452384675756,1,3,1,53031250.0
57,57,nm0000115,39,0.9994867258881376,Nicolas Cage,actor,0.0,10.3445941465294,-0.1817766804692359,0.0211161218832523,1,3,1,58282130.179487176
58,58,nm0000117,11,1.3485532483449882,Neve Campbell,actress,0.13,2.4614809187149462,-0.1505253560152357,0.2168804013939416,4,0,0,29909090.90909091
59,59,nm0000119,5,1.995562613304348,Tia Carrere,actress,0.3,0.7722423698975633,-0.0925997221079594,0.4728798438309968,7,9,0,46200000.0
60,60,nm0000120,28,2.217632944677755,Jim Carrey,actor,0.35,7.247656807030864,-0.0727181478781775,0.5481737974889542,1,3,1,60357142.85714286
61,61,nm0000121,4,5.365619532272728,Phoebe Cates,actress,0.73,0.4907026117613329,0.2091156685913821,1.1204078452894304,7,4,0,22625000.0
62,62,nm0000122,1,0.1090513333333333,Charles Chaplin,actor,-0.96,-0.3539166626473584,-0.2614958273017571,-1.42452778834953,0,7,1,1500000.0
63,63,nm0000123,32,1.424896619661643,George Clooney,actor,0.15,8.373815839575785,-0.143690465490253,0.2469979828571245,1,3,1,52546875.0
64,64,nm0000124,18,0.943808246189238,Jennifer Connelly,actress,-0.03,4.43225922566856,-0.1867614788449978,-0.0240602503115221,1,6,0,64361111.11111111
65,65,nm0000125,21,4.287374793765592,Sean Connery,actor,0.63,5.276878500077251,0.1125822745358966,0.9698199379735156,1,6,1,32128571.42857143
66,66,nm0000126,28,1.8537246584498528,Kevin Costner,actor,0.27,7.247656807030864,-0.105298229876196,0.4277034716362224,1,3,1,51321428.571428575
67,67,nm0000128,28,0.901792543325538,Russell Crowe,actor,-0.05,7.247656807030864,-0.1905230723461869,-0.054177831774705,1,3,1,68464285.71428572
68,68,nm0000129,37,2.227326682922764,Tom Cruise,actor,0.35,9.781514630256938,-0.0718502841915234,0.5481737974889542,1,3,1,81594594.5945946
69,69,nm0000130,17,3.293357923227921,Jamie Lee Curtis,actress,0.52,4.150719467532329,0.0235896564088958,0.8041732399260094,1,6,0,36605882.35294118
70,70,nm0000131,24,1.0020649166636637,John Cusack,actor,0.0,6.121497774485943,-0.1815458594902913,0.0211161218832523,1,3,1,38083333.333333336
71,71,nm0000132,11,1.1604116043204722,Claire Danes,actress,0.06,2.4614809187149462,-0.1673693533121864,0.1114688662728012,4,0,0,39000000.0
72,72,nm0000133,7,3.139680446596364,Geena Davis,actress,0.5,1.3353218861700242,0.0098311766507044,0.7740556584628264,4,0,0,64571428.571428575
73,73,nm0000134,58,1.766192396269103,Robert De Niro,actor,0.25,15.693849551117776,-0.1131348425262715,0.3975858901730394,1,3,1,39622413.79310345
74,74,nm0000136,35,1.0433884286073267,Johnny Depp,actor,0.02,9.218435113984478,-0.1778462366498059,0.0512337033464353,1,3,1,94400000.0
75,75,nm0000137,1,2.295480066666667,Bo Derek,actress,0.36,-0.3539166626473584,-0.0657486291458667,0.5632325882205457,0,1,0,15000000.0
76,76,nm0000138,22,1.3310925838581045,Leonardo DiCaprio,actor,0.12,5.558418258213481,-0.1520885792290273,0.2018216106623501,1,6,1,81318181.81818181
77,77,nm0000139,27,2.304825120584953,Cameron Diaz,actress,0.36,6.966117048894634,-0.0649119825663409,0.5632325882205457,1,3,0,60685185.18518519
78,78,nm0000140,18,1.7193047558481895,Michael Douglas,actor,0.24,4.43225922566856,-0.1173326122045642,0.3825270994414479,1,6,1,53777777.777777776
79,79,nm0000141,8,0.7614738484871032,David Duchovny,actor,-0.12,1.616861644306255,-0.2030855633822611,-0.1595893668958454,4,0,1,26750000.0
80,80,nm0000142,15,3.228747657073733,Clint Eastwood,actor,0.51,3.587639951259868,0.0178052105776762,0.7891144491944179,4,6,1,28640000.0
81,81,nm0000143,2,21.70654695809524,Erika Eleniak,actress,1.34,-0.072376904511128,1.672090752163816,2.038994079916511,6,8,0,17750000.0
82,82,nm0000144,17,4.304927226405511,Cary Elwes,actor,0.63,4.150719467532329,0.1141537135943498,0.9698199379735156,1,6,1,31247058.82352941
83,83,nm0000146,29,1.1815959563752785,Ralph Fiennes,actor,0.07,7.529196565167094,-0.1654727547648583,0.1265276570043927,1,3,1,63258620.68965517
84,84,nm0000147,26,1.3162742537287184,Colin Firth,actor,0.12,6.684577290758403,-0.153415238799474,0.2018216106623501,1,3,1,44769230.76923077
85,85,nm0000148,37,3.576860427173362,Harrison Ford,actor,0.55,9.781514630256938,0.048971147226067,0.8493496121207839,1,3,1,84570270.27027027
86,86,nm0000149,17,2.016795862526592,Jodie Foster,actress,0.31,4.150719467532329,-0.0906987458814608,0.4879386345625883,1,6,0,43082352.941176474
87,87,nm0000150,9,2.3715694270583043,Michael J. Fox,actor,0.37,1.898401402442485,-0.0589364797814418,0.5782913789521372,4,0,1,64555555.55555555
88,88,nm0000151,46,2.310641833817232,Morgan Freeman,actor,0.36,12.315372453483011,-0.064391222250518,0.5632325882205457,1,3,1,58547826.08695652
