,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
33,nm0000219,1,0.77180916,Steven Seagal,director,-0.11,-0.5204078941289055,-0.1694956337552237,-0.08390560980079628,1
34,nm0000228,1,0.0678758,Kevin Spacey,director,-1.15,-0.5204078941289055,-0.22094785749710502,-1.6090628147739763,1
35,nm0000229,29,4.945169458004275,Steven Spielberg,director,0.69,11.296810734886254,0.13554555339408314,1.0892922401785727,3
36,nm0000230,4,2.008660604269995,Sylvester Stallone,director,0.3,0.7457226732655758,-0.07909111414835523,0.5173582883136304,0
37,nm0000231,14,2.875164191140341,Oliver Stone,director,0.46,4.966157897913847,-0.015756231958944954,0.7519978583095043,7
38,nm0000233,12,2.5692638701305954,Quentin Tarantino,director,0.41,4.1220708529841925,-0.038115240145894284,0.6786729926857937,7
39,nm0000243,4,1.59181834,Denzel Washington,director,0.2,0.7457226732655758,-0.10955914232405099,0.3707085570662093,0
40,nm0000247,5,1.1079175493311038,John Woo,director,0.05,1.1677661957304029,-0.14492864342337283,0.15073396019507757,0
41,nm0000255,4,1.6939985448752781,Ben Affleck,director,0.23,0.7457226732655758,-0.10209053938238323,0.41470347644043565,0
42,nm0000257,1,7.7580993846153845,Alan Alda,director,0.89,-0.5204078941289055,0.341149532660286,1.3825917026734151,1
43,nm0000264,4,0.785426003997421,Pedro Almodóvar,director,-0.1,0.7457226732655758,-0.16850034507617373,-0.06924063667605418,0
44,nm0000265,7,4.724507873573815,Robert Altman,director,0.67,2.011853240660057,0.11941685448804738,1.0599622939290887,5
45,nm0000269,4,0.7725224425653595,Jean-Jacques Annaud,director,-0.11,0.7457226732655758,-0.1694434981750261,-0.08390560980079628,0
46,nm0000277,4,1.4321395654690137,Richard Attenborough,director,0.16,0.7457226732655758,-0.12123045739569034,0.31204866456724084,0
47,nm0000316,6,16.454676563093468,Mel Brooks,director,1.22,1.5898097181952302,0.9768037866021552,1.866535815789905,5
48,nm0000318,15,2.112870125869697,Tim Burton,director,0.32,5.388201420378674,-0.07147418344715607,0.5466882345631147,3
49,nm0000338,12,3.4226898747587673,Francis Ford Coppola,director,0.53,4.1220708529841925,0.024263769334873217,0.8546526701826991,7
50,nm0000343,7,0.6214638706139105,David Cronenberg,director,-0.21,2.011853240660057,-0.18048474140034365,-0.2305553410482174,5
51,nm0000361,13,1.3683094783228784,Brian De Palma,director,0.14,4.54411437544902,-0.12589595573960566,0.28271871831775663,7
52,nm0000362,4,0.6103970730357142,Danny DeVito,director,-0.21,0.7457226732655758,-0.18129364090341518,-0.2305553410482174,0
53,nm0000369,1,0.02041125714285714,Matt Dillon,director,-1.7,-0.5204078941289055,-0.2244171578849881,-2.4156363366347926,1
