,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender
38,nm0000093,38,1.2777496257698906,Brad Pitt,actor,0.11,10.06305438839317,-0.1568642823781512,0.18676281993075863,1,3,1
39,nm0000095,12,2.6001431594843223,Woody Allen,actor,0.41,2.743020676851177,-0.03847266725817043,0.6385265418785031,4,0,1
40,nm0000096,5,0.8244186717460318,Gillian Anderson,actress,-0.09,0.7722423698975633,-0.19745022178456426,-0.114412994701071,7,9,0
41,nm0000097,1,2.4445159333333333,Pamela Anderson,actress,0.39,-0.35391666264735844,-0.05240570473220041,0.6084089604153202,0,4,0
42,nm0000098,24,1.7393799722890824,Jennifer Aniston,actress,0.24,6.121497774485943,-0.11553531265815425,0.3825270994414479,1,3,0
43,nm0000099,8,2.6611044676760915,Patricia Arquette,actress,0.42,1.6168616443062547,-0.033014906347635736,0.6535853326100945,4,0,0
44,nm0000100,6,0.9421421044708994,Rowan Atkinson,actor,-0.03,1.0537821280337938,-0.18691064564294707,-0.024060250311522112,7,9,1
45,nm0000101,25,1.8484207174131217,Dan Aykroyd,actor,0.27,6.4030375326221725,-0.10577308258065224,0.4277034716362224,1,3,1
46,nm0000102,19,3.892430567225502,Kevin Bacon,actor,0.59,4.71379898380479,0.07722359826420061,0.9095847750471496,1,6,1
47,nm0000103,9,1.3006435138361065,Fairuza Balk,actress,0.11,1.8984014024424851,-0.15481463201656626,0.18676281993075863,4,0,0
48,nm0000104,34,1.3121492728981834,Antonio Banderas,actor,0.12,8.936895355848247,-0.1537845412275449,0.2018216106623501,1,3,1
49,nm0000105,4,1.8568894415277777,Adrienne Barbeau,actress,0.27,0.4907026117613329,-0.10501489229888082,0.4277034716362224,7,9,0
50,nm0000106,22,2.9329312478221357,Drew Barrymore,actress,0.47,5.558418258213481,-0.00867872296963706,0.728879286268052,1,6,0
51,nm0000107,12,1.4990316287692547,Kim Basinger,actress,0.18,2.743020676851177,-0.13705328582972393,0.292174355051899,4,0,0
52,nm0000110,13,0.9840414851265109,Kenneth Branagh,actor,-0.01,3.024560434987407,-0.1831594662686717,0.006057331151660851,4,6,1
53,nm0000111,17,1.7095765657657587,Matthew Broderick,actor,0.23,4.150719467532329,-0.11820356030487605,0.3674683087098564,1,6,1
54,nm0000112,25,1.5015505442725248,Pierce Brosnan,actor,0.18,6.4030375326221725,-0.1368277716637969,0.292174355051899,1,3,1
