,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget,avg_budget_T,cluster
531,531,531,nm0132709,8,0.8858647741884158,Martin Campbell,director,-0.05,2.4338967631248845,-0.16115902788639536,0.004084228947656408,5,124889674.23174676,1.7214589719796078,3
532,532,532,nm0134176,2,1.0374566333333333,Danny Cannon,director,0.02,-0.09836437166407844,-0.15007880538611204,0.10673904082085121,1,107613264.23598385,1.362681618368623,2
533,533,533,nm0134224,1,2.8719759523809523,Kay Cannon,director,0.46,-0.5204078941289055,-0.01598926818554262,0.7519978583095043,1,25667691.310661394,-0.33907330649676504,1
534,534,534,nm0134811,1,1.583215125,Erik Canuel,director,0.2,-0.5204078941289055,-0.1101879725063278,0.3707085570662093,1,12176393.749221206,-0.6192456361103224,1
535,535,535,nm0136021,1,0.160275,Leos Carax,director,-0.8,-0.5204078941289055,-0.21419417230171828,-1.0957887554080024,1,5350682.9419653695,-0.7609944404360908,1
536,536,536,nm0136592,1,1.4576902,J.S. Cardone,director,0.16,-0.5204078941289055,-0.1193628985622301,0.31204866456724084,1,8693958.587085884,-0.6915649936561999,1
537,537,537,nm0136603,1,1.951064666666667,Patricia Cardoso,director,0.29,-0.5204078941289055,-0.08330094314152849,0.5026933151888883,1,5094116.359620636,-0.7663225311367187,1
538,538,538,nm0136775,1,0.151322,Peter Care,director,-0.82,-0.5204078941289055,-0.21484856913149925,-1.1251187016574864,1,20376465.438482545,-0.44895562673829,1
539,539,539,nm0137228,1,0.0479255,Christian Carion,director,-1.3,-0.5204078941289055,-0.2224060740807283,-1.829037411645108,1,34322209.880617246,-0.15934584748951727,1
540,540,540,nm0138620,3,1.4008660939393938,Joe Carnahan,director,0.15,0.3236791508007487,-0.12351631248618834,0.2973836914424987,0,64248236.5169819,0.462124738316213,1
