,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender,avg_budget,avg_budget_T,cluster
18024,18024,18024,nm2890541,2,0.9509038383895132,Josh Helman,actor,-0.02,-0.072376904511128,-0.18612622269816564,-0.009001459579930631,0,1,1,210553372.83718038,3.435751089822339,4
18025,18025,18025,nm2891820,1,10.043350923076924,Jamie Arentzen,actor,1.0,-0.35391666264735844,0.6279049021557498,1.5269951950424006,6,4,1,9494175.297557607,-0.7511619768317136,1
18026,18026,18026,nm2891971,1,0.11732,Shiree Nelson,actress,-0.92,-0.35391666264735844,-0.26075554781868554,-1.3642926254231642,0,7,0,98058.1995873902,-0.9468293520859601,1
18027,18027,18027,nm2893052,1,0.35065955,Brandon Alter,actor,-0.46,-0.35391666264735844,-0.23986505985760692,-0.6715882517699558,0,5,1,29212847.069408022,-0.34053483065327156,1
18028,18028,18028,nm2893183,2,2.6440125180180183,Jenn Murray,actress,0.42,-0.072376904511128,-0.0345451191579516,0.6535853326100945,0,4,0,112425625.69878006,1.3923113878702493,4
18029,18029,18029,nm2895093,1,3.005495,Cameron Carter,actor,0.48,-0.35391666264735844,-0.0021822152353830034,0.7439380769996434,0,4,1,3332755.2238276973,-0.8794691148862184,1
18030,18030,18030,nm2897065,1,4.9632236,Kelly Briter,actress,0.7,-0.35391666264735844,0.17308985394174212,1.075231473094656,0,4,0,6802055.689973478,-0.8072234298760004,1
18031,18031,18031,nm2898911,1,2.548604,Mia McKenna-Bruce,actress,0.41,-0.35391666264735844,-0.04308687942550916,0.6385265418785031,0,4,0,14222418.242165545,-0.6526997208924276,1
18032,18032,18032,nm2899650,1,5.844178888888889,Alex Fisher,actor,0.77,-0.35391666264735844,0.25196026342346883,1.1806430082157964,0,4,1,13145781.181233611,-0.6751199127245946,1
18033,18033,18033,nm2899705,1,1.6723235,Lloyd Clay Brown,actor,0.22,-0.35391666264735844,-0.12153876311079923,0.3524095179782649,0,1,1,29212847.069408022,-0.34053483065327156,1
18034,18034,18034,nm2900746,1,0.0365574,Marielle Scott,actress,-1.4,-0.35391666264735844,-0.2679860842751302,-2.0871145805395552,0,2,0,29457367.500000004,-0.3354428686916325,1
18035,18035,18035,nm2901344,2,1.7744425,Stefania LaVie Owen,actress,0.25,-0.072376904511128,-0.11239622495086285,0.3975858901730394,0,1,0,12724633.428689692,-0.6838900115298017,1
18036,18036,18036,nm2901394,1,0.9468230909090908,Bin Jiang,actor,-0.02,-0.35391666264735844,-0.18649156499059727,-0.009001459579930631,0,1,1,80335329.44087206,0.7240540668463927,1
18037,18037,18037,nm2901549,1,1.2964923454545454,Meg Phillips,actress,0.11,-0.35391666264735844,-0.1551862789709699,0.18676281993075863,0,1,0,149645225.17941654,2.1673827564426658,4
18038,18038,18038,nm2902567,5,0.309064010040293,Aneurin Barnard,actor,-0.51,0.7722423698975633,-0.24358903689777361,-0.7468822054279133,7,9,1,62471485.40651567,0.3520523731990427,0
18039,18039,18039,nm2903328,1,0.3599933846153846,Brinley Green,actor,-0.44,-0.35391666264735844,-0.23902941772294356,-0.6414706703067728,0,5,1,10485435.118528571,-0.7305197045673245,1
18040,18040,18040,nm2903364,1,0.7284581785714286,Ayisha Issa,actress,-0.14,-0.35391666264735844,-0.20604139943705915,-0.18970694835902846,0,5,0,36608394.51262568,-0.1865278784522125,1
18041,18041,18041,nm2903507,1,3.688035125,Hayley Lovitt,actress,0.57,-0.35391666264735844,0.0589244264130884,0.8794671935839666,0,4,0,10386833.455135671,-0.7325730132341522,1
18042,18042,18042,nm2905454,1,1.855860055555556,Annie McNamara,actress,0.27,-0.35391666264735844,-0.10510705145175482,0.4277034716362224,0,1,0,23722239.644181453,-0.45487277815263183,1
18043,18043,18043,nm2906174,1,0.7428626666666667,Tom Lipinski,actor,-0.13,-0.35391666264735844,-0.2047517904310459,-0.17464815762743693,0,5,1,23722239.644181453,-0.45487277815263183,1
18044,18044,18044,nm2907029,1,0.037723,Jaswir Kaur,actress,-1.4,-0.35391666264735844,-0.26788173011499133,-2.0871145805395552,0,2,0,3533224.769791703,-0.8752944808891963,1
18045,18045,18045,nm2908671,1,1.1869415,E-Kan Soong,actor,0.08,-0.35391666264735844,-0.1649941774523639,0.1415864477359842,0,1,1,40812334.13984087,-0.09898386170488951,1
18046,18046,18046,nm2909941,1,0.0093388,Celina Vignaud,actress,-2.0,-0.35391666264735844,-0.2704229186464034,-2.990642024435044,0,2,0,14222418.242165545,-0.6526997208924276,1
18047,18047,18047,nm2911881,1,0.7954535,Dana DeVestern,actress,-0.1,-0.35391666264735844,-0.20004342371561729,-0.1294717854326625,0,5,0,11209787.77707629,-0.7154355818410245,1
18048,18048,18048,nm2913119,2,0.6129390291666666,Lena Waithe,actress,-0.21,-0.072376904511128,-0.216383629890123,-0.2951184834801688,0,5,0,209499796.109505,3.413811112831447,4
18049,18049,18049,nm2913275,1,1.2453216326530612,Debby Ryan,actress,0.1,-0.35391666264735844,-0.15976750474147994,0.17170402919916716,0,1,0,5989127.972487658,-0.8241520644484919,1
18050,18050,18050,nm2913280,1,0.133315525,Ashleigh Cummings,actress,-0.89,-0.35391666264735844,-0.25932349601930715,-1.3191162532283895,0,7,0,47791633.032,0.046355014035457914,1
18051,18051,18051,nm2913790,1,28.250969,Micah Sloat,actor,1.45,-0.35391666264735844,2.258001584162201,2.204640777964017,6,8,1,4203670.416403609,-0.8613329328842734,1
18052,18052,18052,nm2913856,1,0.6595238285714285,Stephen Peacocke,actor,-0.18,-0.35391666264735844,-0.21221297304633277,-0.24994211128539434,0,5,1,44507733.95320135,-0.02202982053489619,1
18053,18053,18053,nm2914059,1,0.1234923333333333,Leonie Benesch,actress,-0.92,-0.35391666264735844,-0.260202949447806,-1.3642926254231642,0,7,0,25600352.83589798,-0.4157624227981914,1
18054,18054,18054,nm2915105,4,0.5668202152567083,Billy Magnussen,actor,-0.24,0.4907026117613329,-0.22051256785526954,-0.3402948556749432,7,9,1,35227391.749104805,-0.21528626695881845,1
18055,18055,18055,nm2916225,1,0.4901692,Jena Sims,actress,-0.31,-0.35391666264735844,-0.22737500121225818,-0.4457063907960836,0,5,0,6537213.305826014,-0.8127385818927209,1
18056,18056,18056,nm2916507,1,0.0936379310344827,Martijn Lakemeier,actor,-1.05,-0.35391666264735844,-0.26287576265846546,-1.5600569049338535,0,7,1,8471725.650128327,-0.7724537547817069,1
18057,18057,18057,nm2916919,1,0.6039028571428572,Burak Yigit,actor,-0.22,-0.35391666264735844,-0.21719262280571586,-0.3101772742117603,0,5,1,1817695.8546487424,-0.9110191357119104,1
18058,18058,18058,nm2917590,1,1.209337496,Elarica Johnson,actress,0.08,-0.35391666264735844,-0.162989102509799,0.1415864477359842,0,1,0,355560456.0541386,6.455419221934656,4
